,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Date,Amount
25281,538365,22469,HEART OF WICKER SMALL,8,12-12-2010 10:11,1.65,17243.0,United Kingdom,2010-12-12,13.2
25301,538366,22169,FAMILY ALBUM WHITE PICTURE FRAME,15,12-12-2010 10:47,7.65,18109.0,United Kingdom,2010-12-12,114.75
25308,538367,20725,LUNCH BAG RED RETROSPOT,10,12-12-2010 10:48,1.65,14800.0,United Kingdom,2010-12-12,16.5
25351,538368,22420,LIPSTICK PEN BABY PINK,1,12-12-2010 10:57,0.42,15503.0,United Kingdom,2010-12-12,0.42
25421,538369,90200B,BLACK SWEETHEART BRACELET,1,12-12-2010 11:06,4.25,17251.0,United Kingdom,2010-12-12,4.25
25460,538370,84946,ANTIQUE SILVER TEA GLASS ETCHED,6,12-12-2010 11:06,1.25,16923.0,United Kingdom,2010-12-12,7.5
25510,538371,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,12-12-2010 11:07,7.95,15570.0,United Kingdom,2010-12-12,15.9
25555,538374,85099F,JUMBO BAG STRAWBERRY,2,12-12-2010 11:17,1.95,14159.0,United Kingdom,2010-12-12,3.9
25611,538378,82599,FANNY'S REST STOPMETAL SIGN,5,12-12-2010 11:26,2.1,14577.0,United Kingdom,2010-12-12,10.5
25649,538379,22960,JAM MAKING SET WITH JARS,1,12-12-2010 11:26,4.25,17126.0,United Kingdom,2010-12-12,4.25
25711,538382,22752,SET 7 BABUSHKA NESTING BOXES,1,12-12-2010 11:37,8.5,17218.0,United Kingdom,2010-12-12,8.5
25796,538403,84949,SILVER HANGING T-LIGHT HOLDER,12,12-12-2010 11:46,1.65,17211.0,United Kingdom,2010-12-12,19.799999999999997
25818,538409,85152,HAND OVER THE CHOCOLATE   SIGN ,1,12-12-2010 11:49,2.1,17236.0,United Kingdom,2010-12-12,2.1
25827,538417,22745,POPPY'S PLAYHOUSE BEDROOM ,3,12-12-2010 11:54,2.1,16393.0,United Kingdom,2010-12-12,6.300000000000001
25837,538418,22911,PAPER CHAIN KIT LONDON,3,12-12-2010 12:00,2.95,17372.0,United Kingdom,2010-12-12,8.850000000000001
25883,538419,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,12-12-2010 12:01,6.45,16367.0,United Kingdom,2010-12-12,12.9
25920,538420,17096,ASSORTED LAQUERED INCENSE HOLDERS,1728,12-12-2010 12:03,0.17,12875.0,United Kingdom,2010-12-12,293.76000000000005
25921,538421,16218,CARTOON  PENCIL SHARPENERS,5,12-12-2010 12:08,0.16,17917.0,United Kingdom,2010-12-12,0.8
25950,538437,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,12-12-2010 12:18,1.95,16010.0,United Kingdom,2010-12-12,3.9
25974,538449,37449,CERAMIC CAKE STAND + HANGING CAKES,1,12-12-2010 12:24,9.95,17085.0,United Kingdom,2010-12-12,9.95
26028,538453,84558A,3D DOG PICTURE PLAYING CARDS,1,12-12-2010 12:26,2.95,16779.0,United Kingdom,2010-12-12,2.95
26057,538470,22055,MINI CAKE STAND  HANGING STRAWBERY,1,12-12-2010 12:34,1.65,15224.0,United Kingdom,2010-12-12,1.65
26059,538473,82583,HOT BATHS METAL SIGN,12,12-12-2010 12:35,2.1,13668.0,United Kingdom,2010-12-12,25.200000000000003
26073,538488,21027,NINJA RABBIT PINK,5,12-12-2010 12:41,1.25,13715.0,United Kingdom,2010-12-12,6.25
26102,538497,22118,JOY WOODEN BLOCK LETTERS,1,12-12-2010 12:44,4.95,14684.0,United Kingdom,2010-12-12,4.95
26146,538499,20748,KENSINGTON COFFEE SET,3,12-12-2010 12:46,12.75,17819.0,United Kingdom,2010-12-12,38.25
26148,538501,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,12-12-2010 12:51,5.95,13715.0,United Kingdom,2010-12-12,11.9
26150,538503,22423,REGENCY CAKESTAND 3 TIER,16,12-12-2010 12:56,10.95,17188.0,United Kingdom,2010-12-12,175.2
26156,538504,84882,GREEN WIRE STANDING CANDLE HOLDER,3,12-12-2010 13:01,3.75,16011.0,United Kingdom,2010-12-12,11.25
26174,538507,22161,HEART DECORATION RUSTIC HANGING ,38,12-12-2010 13:26,0.65,15547.0,United Kingdom,2010-12-12,24.7
26230,538508,21463,MIRRORED DISCO BALL ,10,12-12-2010 13:32,2.5,15998.0,United Kingdom,2010-12-12,25.0
26348,538509,21034,REX CASH+CARRY JUMBO SHOPPER,1,12-12-2010 13:37,0.95,14413.0,United Kingdom,2010-12-12,0.95
